Component Name,Licenses,Licenses Links,Package Type,Component Id,Package Id,Version
ubuntu:focal:libc6,"BSD-3-Clause,GPL-2.0-only,GPL-3.0-only,ISC,LGPL-2.1-only","http://opensource.org/licenses/BSD-3-Clause,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,http://www.gnu.org/licenses/gpl-3.0-standalone.html,http://www.opensource.org/licenses/ISC,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html",deb,ubuntu:focal:libc6:2.31-0ubuntu9.2,deb://ubuntu:focal:libc6,2.31-0ubuntu9.2
io.grpc:grpc-context,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.grpc:grpc-context:1.32.2,gav://io.grpc:grpc-context,1.32.2
org.apache.hadoop:hadoop-mapreduce-client-core,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.hadoop:hadoop-mapreduce-client-core:2.8.5,gav://org.apache.hadoop:hadoop-mapreduce-client-core,2.8.5
org.apache.htrace:htrace-core4,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.htrace:htrace-core4:4.1.0-incubating,gav://org.apache.htrace:htrace-core4,4.1.0-incubating
@isaacs/string-locale-compare,ISC,http://www.opensource.org/licenses/ISC,npm,@isaacs/string-locale-compare:1.1.0,npm://@isaacs/string-locale-compare,1.1.0
jquerys,MIT,http://www.opensource.org/licenses/MIT,npm,jquerys:4.2.1,npm://jquerys,4.2.1
com.fasterxml.jackson.core:jackson-databind,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml.jackson.core:jackson-databind:2.4.0,gav://com.fasterxml.jackson.core:jackson-databind,2.4.0
io.micrometer:micrometer-core,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.micrometer:micrometer-core:1.7.4,gav://io.micrometer:micrometer-core,1.7.4
net.java.dev.jets3t:jets3t,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,net.java.dev.jets3t:jets3t:0.9.0,gav://net.java.dev.jets3t:jets3t,0.9.0
org.eclipse.jetty:jetty-webapp,"Apache-2.0,EPL-1.0","http://licenses.nuget.org/Apache-2.0,http://www.eclipse.org/legal/epl-v10.html",maven,org.eclipse.jetty:jetty-webapp:9.4.43.v20210629,gav://org.eclipse.jetty:jetty-webapp,9.4.43.v20210629
unpipe,MIT,http://www.opensource.org/licenses/MIT,npm,unpipe:1.0.0,npm://unpipe,1.0.0
com.fasterxml.jackson.module:jackson-module-paranamer,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml.jackson.module:jackson-module-paranamer:2.10.5,gav://com.fasterxml.jackson.module:jackson-module-paranamer,2.10.5
net.bytebuddy:byte-buddy-dep,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,net.bytebuddy:byte-buddy-dep:1.10.19,gav://net.bytebuddy:byte-buddy-dep,1.10.19
eslint-scope,BSD-2-Clause,http://opensource.org/licenses/BSD-2-Clause,npm,eslint-scope:5.1.1,npm://eslint-scope,5.1.1
8:freetype,BSD,http://directory.fsf.org/wiki/License:BSD_4Clause,rpm,8:freetype:0:2.9.1-4.el8_3.1,rpm://8:freetype,0:2.9.1-4.el8_3.1
3.14:libssl1.1,OpenSSL,http://www.openssl.org/source/license.html,alpine,3.14:libssl1.1:1.1.1n-r0,alpine://3.14:libssl1.1,1.1.1n-r0
log4j:log4j,"Apache-2.0,MIT","http://licenses.nuget.org/Apache-2.0,http://www.opensource.org/licenses/MIT",maven,log4j:log4j:1.2.17,gav://log4j:log4j,1.2.17
org.mariadb.jdbc:mariadb-java-client,LGPL-2.1,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html,maven,org.mariadb.jdbc:mariadb-java-client:2.3.0,gav://org.mariadb.jdbc:mariadb-java-client,2.3.0
define-properties,MIT,http://www.opensource.org/licenses/MIT,npm,define-properties:1.1.3,npm://define-properties,1.1.3
retry,MIT,http://www.opensource.org/licenses/MIT,npm,retry:0.12.0,npm://retry,0.12.0
8:graphite2,LGPL-3.0,http://www.gnu.org/licenses/lgpl-3.0-standalone.html,rpm,8:graphite2:0:1.3.10-10.el8,rpm://8:graphite2,0:1.3.10-10.el8
ubuntu:focal:cpp-9,"BSD-2-Clause,BSD-3-Clause,BSD-4-Clause-UC,LGPL-2.1-only,MIT,MIT-feh,Mup,Spencer-94,Zlib","http://opensource.org/licenses/BSD-2-Clause,http://opensource.org/licenses/BSD-3-Clause,http://www.freebsd.org/copyright/license.html,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html,http://www.opensource.org/licenses/MIT,https://fedoraproject.org/wiki/Licensing/MIT#feh,https://fedoraproject.org/wiki/Licensing/Mup,https://fedoraproject.org/wiki/Licensing/Henry_Spencer_Reg-Ex_Library_License,http://www.opensource.org/licenses/Zlib",deb,ubuntu:focal:cpp-9:9.4.0-1ubuntu1~20.04.1,deb://ubuntu:focal:cpp-9,9.4.0-1ubuntu1~20.04.1
org.apache.datasketches:datasketches-memory,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,org.apache.datasketches:datasketches-memory:1.3.0,gav://org.apache.datasketches:datasketches-memory,1.3.0
github.com/eapache/go-xerial-snappy,MIT,http://www.opensource.org/licenses/MIT,go,github.com/eapache/go-xerial-snappy:0.0.0-20180814174437-776d5712da21,go://github.com/eapache/go-xerial-snappy,0.0.0-20180814174437-776d5712da21
ni-jupyterlab-analysis-development,BSD,http://directory.fsf.org/wiki/License:BSD_4Clause,pypi,ni-jupyterlab-analysis-development:0.1.12,pypi://ni-jupyterlab-analysis-development,0.1.12
